date,path,count,uniques
2026-09-18,/AZURE2DEV/AZURE2,48,17
2026-09-18,/AZURE2DEV/AZURE2/blob/dev/README.md,6,4
2026-09-18,/AZURE2DEV/AZURE2/blob/dev/scripts/build_macos.sh,4,2
2026-09-18,/AZURE2DEV/AZURE2/branches,6,3
2026-09-18,/AZURE2DEV/AZURE2/releases,18,8
2026-09-18,/AZURE2DEV/AZURE2/tree/api,8,4
2026-09-18,/AZURE2DEV/AZURE2/tree/dev,31,14
2026-09-18,/AZURE2DEV/AZURE2/tree/dev/.claude/skills,6,4
2026-09-18,/AZURE2DEV/AZURE2/tree/dev/scripts,7,2
2026-09-18,/AZURE2DEV/AZURE2/tree/qt5,4,2
